"Longitude","Latitude","Day_of_Week"
-0.13499,51.496219,"Fri"
-0.198886,51.523567,"Fri"
-0.127607,51.500598,"Sat"
-0.166047,51.522878,"Sun"
-0.141198,51.513584,"Sun"
-0.133564,51.509956,"Mon"
-0.145794,51.4856,"Tue"
-0.161749,51.525778,"Thu"
-0.126982,51.494743,"Wed"
-0.19112,51.512206,"Sat"
-0.118261,51.514117,"Sat"
-0.144239,51.523884,"Sun"
-0.145908,51.514738,"Fri"
-0.195674,51.517312,"Sun"
-0.128943,51.49963,"Thu"
-0.171399,51.526019,"Fri"
-0.148181,51.497777,"Tue"
-0.144135,51.498073,"Tue"
-0.127463,51.50761,"Wed"
-0.168777,51.512309,"Wed"
-0.162906,51.522109,"Fri"
-0.159343,51.51396,"Sat"
-0.192917,51.521407,"Sun"
-0.13259,51.512638,"Wed"
-0.148518,51.514329,"Wed"
-0.125502,51.492201,"Sat"
-0.16247,51.522193,"Sat"
-0.153,51.499742,"Mon"
-0.14274,51.507583,"Tue"
-0.182938,51.53672,"Tue"
-0.143507,51.506426,"Wed"
-0.175122,51.515825,"Sat"
-0.167765,51.512383,"Sat"
-0.140837,51.515377,"Sun"
-0.201743,51.52424,"Wed"
-0.15908,51.513327,"Sat"
-0.193586,51.555499,"Wed"
-0.192742,51.554946,"Fri"
-0.117281,51.520397,"Fri"
-0.111821,51.523456,"Thu"
-0.136784,51.522866,"Sun"
-0.178585,51.555447,"Thu"
-0.123031,51.538294,"Fri"
-0.127347,51.531529,"Sun"
-0.119752,51.51639,"Thu"
-0.18368,51.55067,"Sun"
-0.120542,51.521708,"Fri"
-0.119201,51.522766,"Sun"
-0.138658,51.526403,"Thu"
-0.135824,51.525189,"Sun"
-0.120026,51.516754,"Thu"
-0.126389,51.516226,"Sat"
-0.123002,51.51797,"Wed"
-0.136367,51.5225,"Fri"
-0.138754,51.527574,"Mon"
-0.117717,51.520314,"Fri"
-0.133873,51.520032,"Tue"
-0.202903,51.54602,"Wed"
-0.144182,51.546544,"Wed"
-0.138718,51.528473,"Fri"
-0.151533,51.57157,"Fri"
-0.138714,51.528562,"Thu"
-0.134803,51.518428,"Tue"
-0.139204,51.534236,"Sat"
-0.192173,51.554758,"Fri"
-0.113002,51.526263,"Fri"
-0.126127,51.522607,"Sat"
-0.136684,51.521786,"Tue"
-0.110179,51.517854,"Sat"
-0.116916,51.518772,"Wed"
-0.144393,51.537825,"Mon"
-0.134295,51.523816,"Wed"
-0.177479,51.554261,"Sat"
-0.141889,51.542641,"Wed"
-0.126921,51.520821,"Tue"
-0.120424,51.517569,"Wed"
-0.146915,51.536066,"Sat"
-0.141768,51.545607,"Wed"
-0.126847,51.515604,"Sun"
-0.142619,51.538876,"Tue"
-0.154054,51.541395,"Wed"
-0.126264,51.515774,"Fri"
-0.122337,51.523625,"Wed"
-0.130384,51.531308,"Fri"
-0.161218,51.553287,"Sat"
-0.178686,51.556527,"Sat"
-0.175034,51.543252,"Tue"
-0.169316,51.538396,"Sun"
-0.136105,51.525374,"Wed"
-0.113347,51.521413,"Wed"
-0.142317,51.549842,"Sat"
-0.122334,51.523715,"Fri"
-0.19649,51.540436,"Sat"
-0.138904,51.534501,"Sat"
-0.105396,51.518497,"Fri"
-0.131565,51.55174,"Sun"
-0.136792,51.526194,"Mon"
-0.187432,51.539757,"Tue"
-0.147765,51.557752,"Fri"
-0.19147,51.554297,"Mon"
-0.193075,51.542901,"Tue"
-0.150499,51.561482,"Wed"
-0.142419,51.536715,"Mon"
-0.136086,51.522316,"Thu"
-0.118736,51.52006,"Sun"
-0.153164,51.549114,"Wed"
-0.138273,51.525228,"Wed"
-0.135561,51.535167,"Fri"
-0.111324,51.518053,"Sat"
-0.180822,51.546399,"Tue"
-0.173798,51.541704,"Sun"
